Rank,City,State,Population,County,2020 land area,,2020 population density,,Location,
162,Paterson,New Jersey,"159,732",Passaic,0.0926,8.4 sq mi,21.8 km2,"19,016/sq mi","7,342/km2",40.91°N 74.16°W
163,Alexandria,Virginia,"159,467",Alexandria,0.1393,14.9 sq mi,38.6 km2,"10,702/sq mi","4,132/km2",38.82°N 77.08°W
164,Macon,Georgia,"157,346",Bibb,0.7224,249.4 sq mi,645.9 km2,631/sq mi,244/km2,32.80°N 83.69°W
165,Corona,California,"157,136",Riverside,0.0313,39.9 sq mi,103.3 km2,"3,938/sq mi","1,520/km2",33.86°N 117.56°W
166,Kansas City,Kansas,"156,607",Wyandotte,0.0742,124.7 sq mi,323.0 km2,"1,256/sq mi",485/km2,39.12°N 94.74°W
167,Lakewood,Colorado,"155,984",Jefferson,0.0909,43.5 sq mi,112.7 km2,"3,586/sq mi","1,385/km2",39.69°N 105.11°W
168,Springfield,Massachusetts,"155,929",Hampden,0.0187,31.9 sq mi,82.6 km2,"4,888/sq mi","1,887/km2",42.11°N 72.54°W
169,Sunnyvale,California,"155,805",Santa Clara,0.1122,22.1 sq mi,57.2 km2,"7,050/sq mi","2,720/km2",37.38°N 122.02°W
170,Jackson,Mississippi,"153,701",Hinds,-11.42%,111.7 sq mi,289.3 km2,"1,376/sq mi",531/km2,32.31°N 90.21°W
171,Killeen,Texas,"153,095",Bell,0.1968,54.8 sq mi,141.9 km2,"2,794/sq mi","1,079/km2",31.07°N 97.73°W
172,Hollywood,Florida,"153,067",Los Angeles,0.0874,27.3 sq mi,70.7 km2,"5,607/sq mi","2,165/km2",26.03°N 80.16°W
173,Murfreesboro,Tennessee,"152,769",Rutherford,0.4047,62.9 sq mi,162.9 km2,"2,429/sq mi",938/km2,35.85°N 86.41°W
174,Pasadena,Texas,"151,950",Harris,0.0195,43.7 sq mi,113.2 km2,"3,477/sq mi","1,342/km2",29.65°N 95.15°W
175,Bellevue,Washington,"151,854",King,0.241,33.5 sq mi,86.8 km2,"4,533/sq mi","1,750/km2",47.59°N 122.15°W
176,Pomona,California,"151,713",Los Angeles,0.0178,23.0 sq mi,59.6 km2,"6,596/sq mi","2,547/km2",34.05°N 117.76°W
177,Escondido,California,"151,038",San Diego,0.0495,37.3 sq mi,96.6 km2,"4,049/sq mi","1,563/km2",33.13°N 117.07°W
178,Joliet,Illinois,"150,362",Will,0.0199,64.5 sq mi,167.1 km2,"2,331/sq mi",900/km2,41.51°N 88.14°W
179,Charleston,South Carolina,"150,227",Charleston,0.251,114.8 sq mi,297.3 km2,"1,309/sq mi",505/km2,32.81°N 79.95°W
180,Mesquite,Texas,"150,108",Clark,0.0735,48.5 sq mi,125.6 km2,"3,095/sq mi","1,195/km2",32.76°N 96.58°W
181,Naperville,Illinois,"149,540",Naperville,0.0542,39.1 sq mi,101.3 km2,"3,825/sq mi","1,477/km2",41.74°N 88.16°W
182,Rockford,Illinois,"148,655",Winnebago,-2.76%,64.5 sq mi,167.1 km2,"2,305/sq mi",890/km2,42.25°N 89.06°W
183,Bridgeport,Connecticut,"148,654",Fairfield,0.0307,16.1 sq mi,41.7 km2,"9,233/sq mi","3,565/km2",41.18°N 73.19°W
184,Syracuse,New York,"148,620",Onondaga,0.0238,25.1 sq mi,65.0 km2,"5,921/sq mi","2,286/km2",43.04°N 76.14°W
185,Savannah,Georgia,"147,780",Chatham,0.0843,106.8 sq mi,276.6 km2,"1,384/sq mi",534/km2,32.00°N 81.15°W
186,Roseville,California,"147,773",Placer,0.244,44.1 sq mi,114.2 km2,"3,351/sq mi","1,294/km2",38.76°N 121.31°W
187,Torrance,California,"147,067",Los Angeles,0.0112,20.5 sq mi,53.1 km2,"7,174/sq mi","2,770/km2",33.83°N 118.34°W
188,Fullerton,California,"143,617",Orange,0.0626,22.4 sq mi,58.0 km2,"6,411/sq mi","2,475/km2",33.88°N 117.92°W
189,Surprise,Arizona,"143,148",Maricopa,0.2181,110.3 sq mi,285.7 km2,"1,298/sq mi",501/km2,33.67°N 112.45°W
